Ano	Semestre	Peso	Sexo	Estatura	circun_cuello 	circun_muneca
2020	1	47.6	F	1.57	29.5	13.9
2020	1	68.1	M	1.66	38.4	16.0
2020	1	68.0	M	1.90	36.5	16.6
2020	1	80.0	M	1.76	38.0	17.1
2020	1	68.1	M	1.83	38.0	17.1
2020	1	56.1	F	1.66	33.0	14.7
2020	1	54.2	F	1.65	32.5	15.4
2020	1	69.2	M	1.78	40.5	16.5
2020	1	74.3	M	1.68	38.0	16.1
2020	1	73.3	M	1.69	37.5	16.3
2020	1	102.2	M	1.79	41.5	17.1
2020	1	46.7	F	1.49	31.5	13.8
2020	1	63.8	M	1.74	38.0	16.4
2020	1	76.9	M	1.73	39.5	17.6
2020	1	52.5	F	1.52	32.5	14.4
2020	1	67.3	M	1.76	36.5	16.1
2020	1	79.1	M	1.82	38.0	18.0
2020	1	58.4	F	1.62	33.0	14.3
2020	1	59.3	F	1.68	32.0	14.2
2020	1	57.3	F	1.61	32.0	14.7
2020	1	67.6	F	1.64	34.5	15.3
2020	1	62.7	F	1.67	33.0	15.3
2020	1	71.9	M	1.64	38.5	16.8
2020	1	74.9	M	1.75	40.0	16.8
2020	1	73.0	M	1.85	37.2	16.4
2020	1	63.8	M	1.71	35.0	15.6
2023	1	78.10	M	1.69	40	17.7
2023	1	53.85	M	1.69	34.1	17.5
2023	1	51.45	F	1.63	30.1	14.4	
2023	1	47.95	F	1.59	30.1	14.6
2023	1	70.65	M	1.66	37.6	17.5
2023	1	82.55	M	1.85	40	17.5
2023	1	78	M	1.66	37.6	17.5
2023	1	71.7	M	1.76	37.1	16.9
2023	1	70.75	F	1.52	38.5	16.4
2023	1	52.8	M	1.75	33.4	14.6
2023	1	48.8	F	1.52	31.1	14.4
2023	1	68.7	M	1.85	36	16
2023	1	77.7	M	1.79	38	15
2023	1	82.95	M	1.74	37.0	17
2023	1	57.55	F	1.62	30.5	15.4
2023	1	64.75	M	1.83	34.8	16.9
2023	1	62.65	F	1.62	33.1	15.2
2023	1	62.45	M	1.75	35.7	16
2023	1	62.75	M	1.75	35.5	16.1
2023	1	84.75	M	1.73	40.2	20
2023	1	47.35	F	1.54	31.5	14.6
2023	1	55.45	F	1.54	31.7	15
2023	1	67.3	M	1.82	37.1	17.5
2023	1	55.05	F	1.59	31	13.9
2023	1	49.85	M	1.67	25.5	15
2023	1	55.8	M	1.74	36	16.5
