"y" "x1" "x2"
"1" 11.799223 6 1
"2" 12.51843 4 2
"3" 14.395853 5 2
"4" 5.49191 2 2
"5" 20.018758 7 2
"6" 21.935631 8 3
"7" 12.841941 6 1
"8" 4.803428 2 1
"9" 38.483144 9 5
"10" 6.934019 3 1
"11" 22.596956 7 3
"12" 31.618963 6 4
"13" 26.859474 4 5
"14" 22.870621 6 3
"15" 18.424696 4 3
"16" 11.571635 5 1
"17" 10.335736 4 1
"18" 12.942896 6 1
"19" 9.242844 4 1
"20" 24.939268 8 2
"21" 15.409885 4 3
"22" 12.291009 5 1
"23" 19.785844 8 2
"24" 14.71014 6 1
"25" 9.001258 1 3
"26" 21.742511 6 4
"27" 18.109208 3 3
"28" 29.894795 9 3
"29" 20.655133 5 3
"30" 21.819566 6 3
"31" 9.48372 2 2
"32" 9.054761 3 1
"33" 20.134931 9 2
"34" 13.027327 5 2
"35" 7.72086 4 1
"36" 7 5 0
"37" 17.882266 3 3
"38" 14.508716 5 2
"39" 18.479966 3 4
"40" 20.34992 3 3
"41" 17.841947 7 2
"42" 33.091178 6 4
"43" 24.771678 10 3
"44" 13.635671 3 2
"45" 28.615605 5 5
"46" 10.611399 5 1
"47" 26.135815 5 5
"48" 17.677949 5 2
"49" 14.407612 3 2
"50" 18.286129 6 4
